Код;Наименование;Иерархия;Артикул;Количество;Цена;Бренд;ИмяФайлаИзображения;Новинка;HAPPY_МОЛЛОстаток;ГлобусОстаток;ЛазурныйОстаток;ОранжевыйОстаток;ПассажОстаток;ТауОстаток;ЗаказОстаток;10 летняя батарея;Bluetooth;Барометр\альтиметр;Браслет;Будильник;Включение,отключение звука кнопок;Водозащита;Грязеустойчивость;Дополнительно;Индикатор приливов и отливов;Индикатор уровня заряда аккумулятора;Компас;Материал корпуса;Мелодия;Мировое время;Отображение данных о Луне;Пол;Прием радиосигнала точного времени;Размер корпуса;Резерв хода;Сверх яркая подсветка;Связь со смартфоном;Скидка;Солнечная батарея;Стекло;Страна бренда;Страна производитель;Таймер;Таймер рыбалки;Термометр;Тип механизма;Ударопрочность;Устойчивость к воздействию магнитного поля;Форма корпуса;Функция поиска телефона;Функция секундомера;Хит продаж;Ход стрелки;Хронограф;Циферблат;Шагомер;ЦенаСоСкидкой;
Ц0000020373;A-500WA-7 Casio;ЧАСЫ/Наручные/Casio (Япония);A-500WA-7;3;4350;Casio (Япония);A-500WA-7 .jpg;0;0;1;1;0;1;0;0;;;;Стальной;;;WR 30m;;;;;;Пластик;;;;Мужские;;34*39;;;;;;Органическое;Япония;;;;;Кварцевый;;;Прямоугольник;;;;;;Цифровой;;4350;
Ц0000008428;A-500WEA-1E Casio;ЧАСЫ/Наручные/Casio (Япония);A-500WEA-1E;1;4550;Casio (Япония);A-500WEA-1E.jpg;0;1;0;0;0;0;0;0;;;;Стальной;;;WR;;;;;;Пластик;;;;Мужские;;Стандартный;;;;;;Органическое;Япония;;;;;Кварцевый;;;Квадрат;;;;;;Цифровой;;4550;
Ц0000021061;A-700WM-7A Casio;ЧАСЫ/Наручные/Casio (Япония);A-700WM-7A;2;5990;Casio (Япония);A-700WM-7A .jpg;0;0;0;1;0;1;0;0;;;;Стальной;;;;;;;;;Нержавеющая сталь ;;;;Мужские;;;;;;;;Минеральное;Япония;;;;;Кварцевый;;;;;;;;;Цифровой;;5990;
Ц0000019908;A100WE-1A Casio;ЧАСЫ/Наручные/Casio (Япония);A100WE-1A;5;5450;Casio (Япония);A100WE-1A.jpg;0;1;1;1;0;1;1;0;;;;Стальной;;;WR;;;;;;Пластик;;;;Унисекс;;33;;;;;;Минеральное;Япония;Япония;;;;Кварцевый;;;Прямоугольник;;есть;;;;Цифровой;;5450;
Ц0000021356;A100WE-7B Casio;ЧАСЫ/Наручные/Casio (Япония);A100WE-7B;5;5450;Casio (Япония);A100WE-7B.jpg;0;1;1;1;0;1;1;0;;;;Стальной;;;WR;;;;;;Нержавеющая сталь ;;;;Унисекс;;33*41;;;;;;Органическое;Япония;;;;;Кварцевый;;;Прямоугольник;;есть;;;есть;Цифровой;;5450;
Ц0000022302;A100WEF-3A Casio;ЧАСЫ/Наручные/Casio (Япония);A100WEF-3A;1;5790;Casio (Япония);A100WEF-3A.jpg;1;0;0;0;0;0;1;0;;;;Пластиковый;есть;;WR;;;;;;Пластик;;;;Женские;;32;;;;;;Органическое;Япония;;;;;Кварцевый;;;Прямоугольник;;;;;;Цифровой;;5790;
Ц0000022305;A100WEF-8A Casio;ЧАСЫ/Наручные/Casio (Япония);A100WEF-8A;1;5690;Casio (Япония);A100WEF-8A.jpg;1;0;0;1;0;0;0;0;;;;Пластиковый;есть;;WR;;;;;;Пластик;;;;Женские;;32;;;;;;Органическое;Япония;;;;;Кварцевый;;;Прямоугольник;;;;;;Цифровой;;5690;
Ц0000019055;A171WE-1A Casio;ЧАСЫ/Наручные/Casio (Япония);A171WE-1A;5;5590;Casio (Япония);A171WE-1A .jpg;0;1;1;1;0;1;1;0;;;;Стальной;есть;;WR;;;;;;Пластик;;;;Унисекс;;36;;;;;;Органическое;Япония;;;;;Кварцевый;;;Круг;;есть;;;;Цифровой;;5590;
Ц0000019056;A171WEG-9A Casio;ЧАСЫ/Наручные/Casio (Япония);A171WEG-9A;2;7490;Casio (Япония);A171WEG-9A .jpg;0;1;1;0;0;0;0;0;;;;Стальной;есть;;WR;;;;;;Пластик;;;;Унисекс;;36;;;;;;Органическое;Япония;;;;;Кварцевый;;;Круг;;есть;;;;Цифровой;;7490;
Ц0000019057;A171WEGG-1A Casio;ЧАСЫ/Наручные/Casio (Япония);A171WEGG-1A;3;7490;Casio (Япония);A171WEGG-1A .jpg;0;0;0;1;0;1;1;0;;;;Стальной;есть;;WR;;;;;;Пластик;;;;Унисекс;;36;;;;;;Органическое;Япония;;;;;Кварцевый;;;Круг;;есть;;;;Цифровой;;7490;
Ц0000015141;A700WE-1A Casio;ЧАСЫ/Наручные/Casio (Япония);A700WE-1A;5;4790;Casio (Япония);A700WE-1A.jpg;0;1;1;1;0;1;1;0;;;;Стальной;;;WR;;;;;;Пластик;;;;Мужские;;Стандартный;;;;;;Органическое;Япония;;;;;Кварцевый;;;Квадрат;;;;;;Цифровой;;4790;
Ц0000015654;A700WEM-7A Casio;ЧАСЫ/Наручные/Casio (Япония);A700WEM-7A;1;5490;Casio (Япония);A700WEM-7A.jpg;0;0;1;0;0;0;0;0;;;;Стальной;;;WR;;;;;;Пластик;;;;Мужские;;Стандартный;;;;;;Органическое;Япония;;;;;Кварцевый;;;Прямоугольник;;;;;;Цифровой;;5490;
Ц0000020523;A700WG-9A Casio;ЧАСЫ/Наручные/Casio (Япония);A700WG-9A;3;6990;Casio (Япония);A700WG-9A.jpg;0;1;1;0;0;0;1;0;;;;Стальной;;;WR 30m;;;;;;Нержавеющая сталь ;;;;Мужские;;42;;;;;;Органическое;Япония;;;;;Кварцевый;;;Прямоугольник;;;;;;Цифровой;;6990;
00054662160;AE-1000W-1A Casio;ЧАСЫ/Наручные/Casio (Япония);AE-1000W-1A;5;3690;Casio (Япония);AE-1000W-1A.jpg;0;1;1;1;0;1;1;0;;;;Пластиковый;есть;есть;WR 100m;;;;;;Пластик;;есть;;Мужские;;48;;;;;;Органическое;Япония;;есть;;;Кварцевый;;;Круг;;есть;;;есть;Цифровой;;3690;
Ц0000009132;AE-1000W-1A3 Casio;ЧАСЫ/Наручные/Casio (Япония);AE-1000W-1A3;2;3690;Casio (Япония);AE-1000W-1A3.jpg;0;0;1;0;0;1;0;0;;;;Пластиковый;есть;есть;WR 100m;;;;;;Пластик;;есть;;Мужские;;48;;;;;;Органическое;Япония;;есть;;;Кварцевый;;;Круг;;есть;;;есть;Цифровой;;3690;
Д0000000429;AE-1000W-1B Casio;ЧАСЫ/Наручные/Casio (Япония);AE-1000W-1B;5;3690;Casio (Япония);AE-1000W-1B.jpg;0;1;1;1;0;1;1;0;;;;Пластиковый;есть;есть;WR 100m;;;;;;Пластик;;есть;;Мужские;;48;;;;;;Органическое;Япония;;есть;;;Кварцевый;;;Круг;;есть;;;есть;Цифровой;;3690;
Ц0000007789;AE-1000W-2A Casio;ЧАСЫ/Наручные/Casio (Япония);AE-1000W-2A;5;3690;Casio (Япония);AE-1000W-2A.jpg;0;1;1;1;0;1;1;0;;;;Пластиковый;есть;есть;WR 100m;;;;;;Пластик;;есть;;Мужские;;48;;;;;;Органическое;Япония;;есть;;;Кварцевый;;;Круг;;есть;;;есть;Цифровой;;3690;
Ц0000015810;AE-1000W-2A2 Casio;ЧАСЫ/Наручные/Casio (Япония);AE-1000W-2A2;1;3690;Casio (Япония);AE-1000W-2A2.jpg;0;0;1;0;0;0;0;0;;;;Пластиковый;есть;есть;WR 100m;;;;;;Пластик;;есть;;Мужские;;48;;;;;;Органическое;Япония;;есть;;;Кварцевый;;;Круг;;есть;;;есть;Цифровой;;3690;
Ц0000007790;AE-1000W-3A Casio;ЧАСЫ/Наручные/Casio (Япония);AE-1000W-3A;5;3690;Casio (Япония);AE-1000W-3A.jpg;0;1;1;1;0;1;1;0;;;;Пластиковый;есть;есть;WR 100m;;;;;;Пластик;;есть;;Мужские;;48;;;;;;Органическое;Япония;;есть;;;Кварцевый;;;Круг;;есть;;;есть;Цифровой;;3690;
Ц0000007791;AE-1000W-4A Casio;ЧАСЫ/Наручные/Casio (Япония);AE-1000W-4A;5;3690;Casio (Япония);AE-1000W-4A.jpg;0;1;1;1;0;1;1;0;;;;Пластиковый;есть;есть;WR 100m;;;;;;Пластик;;есть;;Мужские;;48;;;;;;Органическое;Япония;;есть;;;Кварцевый;;;Круг;;есть;;;есть;Цифровой;;3690;
Ц0000007892;AE-1000W-4B Casio;ЧАСЫ/Наручные/Casio (Япония);AE-1000W-4B;5;3690;Casio (Япония);AE-1000W-4B.jpg;0;1;1;1;0;1;1;0;;;;Пластиковый;есть;есть;WR 100m;;;;;;Пластик;;есть;;Мужские;;48;;;;;;Органическое;Япония;;есть;;;Кварцевый;;;Круг;;есть;;;есть;Цифровой;;3690;
Ц0000015655;AE-1000W-7A Casio;ЧАСЫ/Наручные/Casio (Япония);AE-1000W-7A;1;3690;Casio (Япония);AE-1000W-7A.jpg;0;0;1;0;0;0;0;0;;;;Пластиковый;есть;есть;WR 100m;;;;;;Пластик;;есть;;Мужские;;Стандартный;;;;;;Органическое;Япония;;есть;;;Кварцевый;;;Круг;;есть;;;есть;Цифровой;;3690;
00054662161;AE-1000WD-1A Casio;ЧАСЫ/Наручные/Casio (Япония);AE-1000WD-1A;5;4590;Casio (Япония);AE-1000WD-1A.jpg;0;1;1;1;0;1;1;0;;;;Стальной;есть;есть;WR 100m;;;;;;Пластик;;есть;;Мужские;;48;;;;;;Органическое;Япония;;есть;;;Кварцевый;;;Круг;;есть;;;есть;Цифровой;;4590;
СТ000001222;AE-1100W-1A Casio;ЧАСЫ/Наручные/Casio (Япония);AE-1100W-1A;5;3790;Casio (Япония);AE-1100W-1A.jpg;0;1;1;1;0;1;1;0;;;;Пластиковый;есть;;WR 100m;;;;;;Пластик;;есть;;Мужские;;Стандартный;;;;;;Органическое;Япония;;есть;;;Кварцевый;;;Круг;;есть;;;есть;Цифровой;;3790;
Д0000001211;AE-1100W-1B Casio;ЧАСЫ/Наручные/Casio (Япония);AE-1100W-1B;3;3990;Casio (Япония);AE-1100W-1B.jpg;0;1;0;1;0;0;1;0;;;;Пластиковый;есть;есть;WR 100m;;;;;;Пластик;;есть;;Мужские;;48;;;;;;Органическое;Япония;;есть;;;Кварцевый;;;Круг;;есть;;;есть;Цифровой;;3990;
Ц0000019950;AE-1100WD-1A Casio;ЧАСЫ/Наручные/Casio (Япония);AE-1100WD-1A;5;4990;Casio (Япония);AE-1100WD-1A.jpg;0;1;1;1;0;1;1;0;;;;Стальной;;есть;WR 100m;;;;;;Пластик;;есть;;Мужские;;48;;;;;;;Япония;;есть;;;Кварцевый;;;Круг;;есть;;;;Цифровой;;4990;
СТ000007925;AE-1200WH-1A Casio;ЧАСЫ/Наручные/Casio (Япония);AE-1200WH-1A;5;3990;Casio (Япония);ae-1200wh-1a.jpg;0;1;1;1;0;1;1;0;;;;Пластиковый;есть;есть;WR 100m;;;;;;Пластик;;есть;;Мужские;;45;;;;;;Органическое;Япония;;есть;;;Кварцевый;;;Квадрат;;есть;;;есть;Цифровой;;3990;
СТ000004504;AE-1200WH-1B Casio;ЧАСЫ/Наручные/Casio (Япония);AE-1200WH-1B;5;3990;Casio (Япония);AE-1200WH-1B             .jpg;0;1;1;1;0;1;1;0;;;;Пластиковый;есть;есть;WR 100m;;;;;;Пластик;;есть;;Мужские;;Стандартный;;;;;;Органическое;Япония;;есть;;;Кварцевый;;;Квадрат;;есть;;;есть;Цифровой;;3990;
Ц0000017842;AE-1200WH-1C Casio;ЧАСЫ/Наручные/Casio (Япония);AE-1200WH-1C;1;3990;Casio (Япония);AE-1200WH-1C.jpg;0;0;1;0;0;0;0;0;;;;Пластиковый;есть;есть;WR 100m;;;;;;Пластик;;есть;;Мужские;;45;;;;;;Органическое;Япония;;есть;;;Кварцевый;;;Квадрат;;есть;;;есть;Цифровой;;3990;
Ц0000016753;AE-1200WH-5A Casio;ЧАСЫ/Наручные/Casio (Япония);AE-1200WH-5A;2;3990;Casio (Япония);AE-1200WH-5A.jpg;0;0;1;0;0;0;1;0;;;;Пластиковый;есть;есть;WR 100m;;;;;;Пластик;;есть;;Мужские;;45;;;;;;Органическое;Япония;;есть;;;Кварцевый;;;Квадрат;;есть;;;есть;Цифровой;;3990;
Ц0000020896;AE-1200WHB-3B Casio;ЧАСЫ/Наручные/Casio (Япония);AE-1200WHB-3B;2;4390;Casio (Япония);AE-1200WHB-3B.jpg;0;1;0;1;0;0;0;0;;;;кожа+текстиль;;;WR 100m;;;;;;Пластик;;;;Мужские;;42*45;;;;;;Органическое;Япония;;;;;Кварцевый;;;Квадрат;;;;;;Цифровой;;4390;
СТ000005821;AE-1200WHD-1A Casio;ЧАСЫ/Наручные/Casio (Япония);AE-1200WHD-1A;5;5490;Casio (Япония);ae-1200whd-1a.jpg;0;1;1;1;0;1;1;0;;;;Стальной;есть;есть;WR 100m;;;;;;Пластик;;есть;;Мужские;;Стандартный;;;;;;Органическое;Япония;;есть;;;Кварцевый;;;Квадрат;;есть;;;есть;Цифровой;;5490;
Ц0000016039;AE-1200WHD-7A Casio;ЧАСЫ/Наручные/Casio (Япония);AE-1200WHD-7A;1;5790;Casio (Япония);AE-1200WHD-7A.jpg;0;0;0;0;0;1;0;0;;;;Стальной;есть;есть;WR 100m;;;;;;Пластик;;;;Мужские;;48;;;;;;Минеральное;Япония;;есть;;;Кварцевый;;;Квадрат;;есть;;;;Цифровой;;5790;
Ц0000015127;AE-1300WH-1A Casio;ЧАСЫ/Наручные/Casio (Япония);AE-1300WH-1A;4;3990;Casio (Япония);AE-1300WH-1A.jpg;0;1;1;1;0;1;0;0;;;;Пластиковый;есть;есть;WR 100m;;;;;;Пластик;;есть;;Мужские;;Стандартный;;;;;;Органическое;Япония;;есть;;;Кварцевый;;;Квадрат;;есть;;;есть;Цифровой;;3990;
Ц0000003917;AE-1300WH-1A2 Casio;ЧАСЫ/Наручные/Casio (Япония);AE-1300WH-1A2;1;3990;Casio (Япония);AE-1300WH-1A2.jpg;0;0;0;1;0;0;0;0;;;;Пластиковый;есть;;WR 100m;;;;;;Пластик;;есть;;Мужские;;45;;;;;;Органическое;Япония;;есть;;;Кварцевый;;;Квадрат;;есть;;;есть;Цифровой;;3990;
Ц0000001977;AE-1300WH-2A Casio;ЧАСЫ/Наручные/Casio (Япония);AE-1300WH-2A;5;3990;Casio (Япония);AE-1300WH-2A.jpg;0;1;1;1;0;1;1;0;;;;Пластиковый;есть;есть;WR 100m;;;;;;Пластик;;есть;;Мужские;;48;;;;;;Органическое;Япония;;есть;;;Кварцевый;;;Квадрат;;есть;;;есть;Цифровой;;3990;
Ц0000002334;AE-1300WH-4A Casio;ЧАСЫ/Наручные/Casio (Япония);AE-1300WH-4A;1;3990;Casio (Япония);AE-1300WH-4A.jpg;0;0;0;0;0;0;1;0;;;;Пластиковый;есть;есть;WR 100m;;;;;;Пластик;;есть;;Мужские;;48;;;;;;Органическое;Япония;;есть;;;Кварцевый;;;Квадрат;;есть;;;есть;Цифровой;;3990;
Ц0000002335;AE-1300WH-8A Casio;ЧАСЫ/Наручные/Casio (Япония);AE-1300WH-8A;5;3990;Casio (Япония);AE-1300WH-8A.jpg;0;1;1;1;0;1;1;0;;;;Пластиковый;;есть;WR 100m;;;;;;Пластик;;есть;;Мужские;;Стандартный;;;;;;Органическое;Япония;;;;;Кварцевый;;;Квадрат;;есть;;;;Цифровой;;3990;
Ц0000011218;AE-1400WH-1A Casio;ЧАСЫ/Наручные/Casio (Япония);AE-1400WH-1A;1;4990;Casio (Япония);AE-1400WH-1A.jpg;0;0;0;0;0;1;0;0;;;;Пластиковый;есть;есть;WR 100m;;;;;;Пластик;;есть;;Мужские;;48;;;;;;Органическое;Япония;;есть;;;Кварцевый;;;Круг;;есть;;;есть;Цифровой;;4990;
Ц0000015142;AE-1400WH-9A Casio;ЧАСЫ/Наручные/Casio (Япония);AE-1400WH-9A;2;4990;Casio (Япония);AE-1400WH-9A.jpg;0;0;1;1;0;0;0;0;;;;Пластиковый;есть;есть;WR 100m;;;;;;Пластик;;есть;;Мужские;;Стандартный;;;;;;Органическое;Япония;;есть;;;Кварцевый;;;Круг;;есть;;;есть;Цифровой;;4990;
Ц0000020213;AE-1400WHD-1A Casio;ЧАСЫ/Наручные/Casio (Япония);AE-1400WHD-1A;5;5490;Casio (Япония);AE-1400WHD-1A.jpg;0;1;1;1;0;1;1;0;;;;Стальной;;есть;WR 100m;;;;;;Пластик;;есть;;Мужские;;48;;;;;;Органическое;Япония;;есть;;;Кварцевый;;;Круг;;есть;;;есть;Цифровой;;5490;
Ц0000018748;AE-1500WH-1A Casio;ЧАСЫ/Наручные/Casio (Япония);AE-1500WH-1A;5;4690;Casio (Япония);AE-1500WH-1A.jpg;0;1;1;1;0;1;1;0;есть;;;Пластиковый;;есть;WR 100m;;;;;;Пластик;;;;Мужские;;51;;;;;;Минеральное;Япония;;есть;;;Кварцевый;;;Круг;;есть;;;есть;;;4690;
Ц0000017975;AE-1500WH-5A Casio;ЧАСЫ/Наручные/Casio (Япония);AE-1500WH-5A;3;4990;Casio (Япония);AE-1500WH-5A.jpg;0;0;1;0;0;1;1;0;;;;Пластиковый;есть;есть;WR 100m;;;;;;Пластик;;;;Мужские;;51;;;;;;Органическое;Япония;;есть;;;Кварцевый;;;Круг;;есть;;;есть;Цифровой;;4990;
Ц0000018749;AE-1500WH-8B Casio;ЧАСЫ/Наручные/Casio (Япония);AE-1500WH-8B;5;4690;Casio (Япония);AE-1500WH-8B.jpg;0;1;1;1;0;1;1;0;есть;;;Пластиковый;;есть;WR 100m;;;;;;Пластик;;;;Мужские;;51;;;;;;Органическое;Япония;;есть;;;Кварцевый;;;Круг;;есть;;;есть;;;4690;
